지역,RMSE,y 평균값,yhat 평균값
경복궁·서촌마을,1043.51,8916.67,9363.32
광화문·덕수궁,9615.46,10833.33,18289.34
창덕궁·종묘,4491.37,5895.83,9001.1
강남 MICE 관광특구,3022.49,7512.5,6863.65
동대문 관광특구,7191.98,15125.0,21638.7
명동 관광특구,16451.14,17895.83,29102.61
이태원 관광특구,2096.24,7166.67,6169.96
잠실 관광특구,6428.15,39833.33,38925.21
종로·청계 관광특구,9397.7,12729.17,19673.58
홍대 관광특구,7743.16,42500.0,39203.33
가로수길,4550.03,13854.17,16188.65
낙산공원·이화마을,38.99,329.17,339.23
노량진,2275.61,10645.83,12302.61
북촌한옥마을,141.22,862.5,783.91
성수카페거리,3442.68,4208.33,6526.56
수유리 먹자골목,1145.68,9562.5,9790.38
쌍문동 맛집거리,375.21,2895.83,3142.93
압구정로데오거리,5003.41,12125.0,12968.24
여의도,35473.3,41750.0,69426.21
영등포 타임스퀘어,3121.79,13354.17,11607.94
인사동·익선동,4347.56,11895.83,14729.85
창동 신경제 중심지,2081.02,23916.67,24506.69
DMC(디지털미디어시티),9121.86,7937.5,14688.05
가산디지털단지역,15727.47,9854.17,22156.1
강남역,17569.09,27083.33,38393.74
건대입구역,2306.93,16750.0,16357.49
고속터미널역,2327.1,10500.0,10297.83
교대역,4358.37,5083.33,8387.41
구로디지털단지역,14169.48,7312.5,17891.81
서울역,8354.51,3875.0,10030.05
선릉역,19017.54,16750.0,31090.75
신도림역,1426.07,3466.67,4213.46
신림역,1766.24,12750.0,12330.55
신촌·이대역,2412.81,19500.0,19828.54
왕십리역,1280.53,8979.17,9321.3
역삼역,13211.35,9000.0,18932.66
연신내역,736.54,5395.83,5604.25
용산역,1775.11,10750.0,11084.11
